source_id,subzone,soil_order,soil_texture,soil_drainage,soil_depth,suitability_score,suitability_level,territorial_authority,area_m2,lat,lon,title_count
01a46bd4-72e7-4fb0-992c-34269a059729,Pongakawa,Gley,Sandy,Poorly drained,Deep,4.0,Marginal,Western Bay of Plenty District,871137.0,-37.801117735659474,176.48718599066433,1
01b1441f-f6f8-4884-9f3c-7900ae166cc6,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,12246.068058401346,-37.75178128645217,176.0504072150299,1
01b30164-1f9c-4ac2-af12-a0455f61adec,,Brown,Sandy,Well drained,Deep,6.4,Good,Tauranga City,15000.249961966898,-37.684520956964725,176.25247885844638,48
01b6043e-9892-4881-8385-960f5b85bd17,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,13758.034932072274,-37.61724410595871,175.87845241564776,1
01c497a7-63b6-4bbd-87cb-b07531689f4c,,Gley,Sandy,Poorly drained,Deep,4.0,Marginal,Whakatane District,110518.82497846294,-38.04870005045654,176.8164305417146,1
01c4c415-11ad-44be-b684-4bd02f13d5d1,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,220390.3713454152,-37.911781442544864,176.1898774631205,3
01c6c0db-2761-43ff-a1ed-84446b38c2da,Tauranga,Allophanic,Loamy,Well drained,Moderately Deep,9.6,Excellent,Western Bay of Plenty District,21992.33170398278,-37.83700994895645,176.12171881671745,1
01c7df2e-19f6-477b-a9df-4b0580b45078,,Gley,Sandy,Poorly drained,Deep,4.0,Marginal,Whakatane District,104395.3251310866,-38.04723804684255,176.77130550316593,1
01cb53ef-9835-41a0-95cc-cc915c8ccca5,,Allophanic,Silty,Well drained,Deep,8.8,Excellent,Western Bay of Plenty District,119162.6550978613,-37.842197616404526,175.9499836709965,1
01ce4870-1f27-4e14-9614-194a5d36c294,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Western Bay of Plenty District,1553640.3596321282,-37.73350487718371,176.28764604412717,1
01d81499-d9f1-42ab-88e9-b6766c7c7dc7,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Ōpōtiki District,398667.6223945509,-38.05335960389723,177.32488978899687,1
01d96809-de83-474e-a1d1-30c09334ea5e,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Whakatane District,42229.22157943487,-38.00422691263984,177.05930634277863,1
01dcb455-f425-4666-9d4f-026c9a081658,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Tauranga City,47724.0,-37.71494024162935,176.27209738927328,1
01dcbd3e-ee52-4ade-9710-96f22b64119e,,Organic,Peaty,Very poorly drained,Deep,1.8,Marginal,Tauranga City,11314.92665759437,-37.71349973074416,176.31513584877837,39
01e4b5e9-bc27-4268-8188-c334b1e69c73,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,17200.3937542513,-37.67046949537094,176.06110907616514,1
01ea1009-008d-4346-a993-80966d497711,Tauranga,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,37870.4410881158,-37.806722894555634,176.12043519423818,1
01eaa490-74bf-4e22-a7bb-73dc4bfa23bb,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Ōpōtiki District,84501.17707455526,-37.96277945649812,177.46010309917818,2
01fbee68-2c27-42a7-836b-ebc776d6827f,,Gley,Loamy,Poorly drained,Deep,6.0,Good,Whakatane District,13518.817625345366,-37.93384641234137,176.9405873900866,1
01fe1422-c219-4765-9020-e2e0fb81cfdc,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,38048.81637714632,-37.52897225883514,175.92464800274504,1
01fe417b-c5d2-4feb-a462-a5a86f18c3ea,,Gley,Loamy,Poorly drained,Deep,6.0,Good,Whakatane District,1233750.4655960768,-38.08719982347596,177.1450841957688,1
02038b4c-3aa3-4afd-8e64-89908265f9db,Pongakawa,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Western Bay of Plenty District,1479205.6591783806,-37.90657169619276,176.45071538659224,1
0205770e-c2f7-4e85-958c-27523b417cfc,,Gley,Loamy,Poorly drained,Deep,6.0,Good,Whakatane District,10249.8092465871,-37.96384789594548,176.98539373638624,1
02059b59-f678-497d-a318-373deee72f1d,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,10001.604199435096,-37.68922317766994,176.05544375016214,1
0205a909-2382-4694-a3b5-a21b70b17d27,,Gley,Sandy,Poorly drained,Deep,4.0,Marginal,Whakatane District,56564.99401767173,-37.99163198085204,176.85168035547346,1
0209a8d4-e354-4e82-8519-d2dc14e4d91e,Tauranga,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Tauranga City,70934.24192686562,-37.68780935940642,176.1127325812495,280
0212adfb-85f2-4dfd-9956-4f8150de700c,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Ōpōtiki District,162446.0810819563,-37.99735743183486,177.2316454340171,1
02190c72-d365-43e6-ba97-c64898901a9d,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Whakatane District,39671.75896220822,-37.98811264610554,177.0786356767901,1
02193d5c-62c0-4f34-9541-742f3fb39613,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,65264.28692589013,-37.59483852772035,175.92776437752906,1
021c948f-1e0d-4385-9e3c-02b9e4921e09,,Podzol,Sandy,Well drained,Moderately Deep,4.8,Marginal,Whakatane District,104340.82191530553,-37.91889118468992,176.87785723105563,3
021e6651-3e83-47b8-86e0-68ab097991bb,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,129354.6535228728,-37.82593425660737,176.54963872863144,1
0223b6ad-fa38-47f9-9d19-03b29358ba62,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,117006.98011443196,-37.7059609416258,176.08326911888156,1
0226b20a-e345-465b-bcf5-c946961dd11e,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Whakatane District,156594.84110011355,-38.07091569961945,176.8062667153932,1
022c6fcb-7edd-4e76-b62d-3ed6bfcd6256,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,176361.89497430235,-37.6862670545675,175.97050838130363,3
02302b8f-3cef-4270-a864-b384160ba77e,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,10928.726496262783,-37.628431008391296,176.0070011282915,1
02317c6c-a019-429f-9cae-096b6297a80a,Katikati,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,21521.320049846545,-37.5512681169759,175.93668422305498,1
0241cc29-8b72-4308-84ee-bd516825889f,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,62211.19881168603,-37.628931681782525,175.98050180885053,1
024407f2-fb36-4c50-8e8c-162005e89e7a,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,63264.37950222101,-37.59288311614542,175.94031675266478,1
024a2e65-dbf1-41e7-aaaf-ca0a88efcc8b,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Ōpōtiki District,3462638.438530541,-38.05086552379525,177.36233138629288,1
024ec6c8-b67d-4d14-9db2-ae83ab1250bc,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Whakatane District,220262.66333518815,-37.940005879446446,176.73701222415806,1
02537e3c-1657-4ad2-a233-9463448ff4f6,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,27142.10966205923,-37.818728417655656,176.57767443995243,1
0257b13f-940c-4a7a-b85a-233ea784c084,,Recent,Sandy,Well drained,Deep,6.4,Good,Whakatane District,119045.02214539876,-37.999438210274434,176.76935680757867,1
025a6e6a-fe80-4d37-aed4-4a04ee17ad85,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,42455.36806725667,-37.91193477347467,176.15518080310136,1
025b9f86-288f-4881-8f5e-c1cc8bf28a34,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,13454.233487023326,-37.652329638123184,176.00054381774993,1
025d67f9-b3f3-40f8-992f-bbba73ffe998,,Organic,Peaty,Very poorly drained,Deep,1.8,Marginal,Whakatane District,1160423.8576672303,-37.99044339219356,176.94447954166773,1
02608fb2-999c-47a5-824a-0061dcbf6da0,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Whakatane District,23406.082206740648,-37.86223853638641,176.67646255241704,1
026690a1-8e1f-4dac-a01a-7e067b41f03e,,Gley,Loamy,Poorly drained,Deep,6.0,Good,Western Bay of Plenty District,42237.27086991786,-37.53270673178157,175.91274652774686,3
0268173e-eafe-4600-9c1f-757801113cf4,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Whakatane District,62682.16937817028,-38.11788491728783,177.1280544288026,1
026862c1-6897-49bf-8f9f-be31e1be7943,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,60119.4228003798,-37.68606451478615,176.02261609708785,1
02695305-eb1c-4fa5-9412-dc3be4099ffb,,Brown,Loamy,Well drained,Deep,8.4,Excellent,Ōpōtiki District,242888.70045850385,-37.728659488604514,177.70619008267576,1
026ac2e3-2b0e-44ea-91c8-bbdb0cb52923,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,26180.70077496767,-37.80834508062298,176.08924251701487,1
026c3d4e-20e1-413d-a332-024b8e07554c,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Whakatane District,11298.786859312082,-38.06595877139085,176.81458664176392,1
02711510-3ab8-4566-a358-0da0ba3d0906,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,120033.6870153373,-37.78461377004587,176.1305188038451,1
0277a4e3-31c4-42c0-9746-8f35f410f0f0,,Allophanic,Silty,Well drained,Deep,8.8,Excellent,Western Bay of Plenty District,3041996.706212297,-37.723418632089775,175.92152764420717,1
0279eaa2-25f8-4d15-b9c6-57c65809afba,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Western Bay of Plenty District,1876171.0,-37.93076527431855,176.4255402385875,1
027dd7e1-f11b-4fd8-b45b-4931de368ae1,,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Western Bay of Plenty District,41954.485729780514,-37.869865587317285,176.30991287111357,1
02863a2d-1ba8-4f28-b766-15da84a197c1,,Gley,Loamy,Poorly drained,Deep,6.0,Good,Whakatane District,48267.22937967526,-37.98314927479507,176.81046905456938,1
0287d26b-2613-4cc4-a279-84bbe049cfaa,Pongakawa,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Western Bay of Plenty District,221334.40184992284,-37.95871115788197,176.45379127010742,3
028adad9-22b9-462e-9ece-3053a4c6fafd,,Gley,Loamy,Poorly drained,Deep,6.0,Good,Whakatane District,14868.7762818219,-37.98836298472813,176.965931442385,1
02927c98-9000-4b9b-b7d2-8073d5fc07cd,,Gley,Loamy,Poorly drained,Deep,6.0,Good,Western Bay of Plenty District,24809.530277472582,-37.807529884285614,176.38468563221562,1
0294d5b4-11f6-4c5c-a8d9-5fe2e7134c20,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Ōpōtiki District,11632.241066917855,-38.00551326111662,177.39757779733603,1
0295d5f0-3fd0-4a6d-afc8-4359c75f1892,,Raw,Sandy,Well drained,Deep,5.6,Good,Whakatane District,20001.76227865872,-37.908961663282426,176.86429292312312,1
02ad9a2c-5d99-4e5f-8717-a7b5b030e654,,Gley,Sandy,Poorly drained,Deep,4.0,Marginal,Whakatane District,92926.42593838568,-38.01877919338924,176.82951028502708,1
02b039ce-791b-469b-b309-afdee48aca9b,Te Puke,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Western Bay of Plenty District,41844.77559924126,-37.82561138016855,176.2878591167085,1
02b74d5b-9fa7-4d30-84ef-109293d9b7d3,,Brown,Loamy,Well drained,Deep,8.4,Excellent,Ōpōtiki District,23701.339483632943,-37.8165087581966,177.64158655051972,1
02b936d5-de55-4eb7-bf43-2651f3e76784,,Recent,Loamy,Well drained,Deep,8.4,Excellent,Ōpōtiki District,31990.597029863944,-37.95922438557653,177.48489389010615,1
02bdd06d-f678-49f6-b797-1cc75eee93a4,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,50070.332095593214,-37.67796725572333,176.05965414676396,1
02bde766-c8ed-4b80-b118-a2b914c6aaf5,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,13619.177643629077,-37.55711571291883,175.89335590234822,1
02bdf294-b852-43f4-97c3-de979784f100,,Recent,Sandy,Well drained,Deep,6.4,Good,Whakatane District,53300.51172893439,-37.971098077039215,176.76378859932126,1
02bdf2fa-72f3-4b62-8cae-66ea05dcb8b1,Tauranga,Allophanic,Loamy,Well drained,Moderately Deep,9.6,Excellent,Western Bay of Plenty District,56529.67450237806,-37.81421775984215,176.18380194771103,1
02bf9476-316f-4969-978a-0b72eb5ed115,Tauranga,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Tauranga City,97097.65270962764,-37.71979624394887,176.20765600586083,1
02bfc1b7-85f1-4ccb-a52c-e85789518f18,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,22089.94203826785,-37.67374171509007,176.0580077404472,1
02c306a7-c29d-479e-a487-ccd70a3bbb33,Tauranga,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Tauranga City,392892.0,-37.73980732757948,176.08894624518422,1
02c7c124-24cf-45a7-a4ec-9c25e79c094b,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,50241.513985751895,-37.89006160146107,176.12347753911683,1
02cafabf-3a26-4adc-9673-6da17f3187e6,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Ōpōtiki District,767221.2566760539,-38.05294205870978,177.31598287569926,1
