source_id,suitability_score,lcdb_class_2023,subzone,territorial_authority
c1bf26ab-16f8-4642-a1b7-91087d7be800,8.4,High Producing Exotic Grassland,,��p��tiki District
cafe10d5-28d3-4bd4-8a99-a240bfe57361,10.0,Built-up Area (settlement),Tauranga,Tauranga City
4606525,8.4,High Producing Exotic Grassland,,Whakatane District
1a5c0875-1a98-4a77-b7b7-c005b71add5b,10.0,Manuka and/or Kanuka,,��p��tiki District
c8d9e9c6-8dfb-4359-8ad9-e8f7f38e30d0,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
8664a82d-1764-444f-85ff-b001613aae57,10.0,High Producing Exotic Grassland,Katikati,Western Bay of Plenty District
8092135b-9991-41f0-b184-c02ff4208dfe,8.4,Short-rotation Cropland,,Whakatane District
6f53b246-2913-45c4-b9c3-dfbb7d3acbf6,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
9784275e-4ebb-4d5c-aa13-1f4885fe8a72,10.0,Built-up Area (settlement),Tauranga,Tauranga City
6f485069-2990-484c-8400-290f661b4899,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
d64ba16b-9aaa-4b70-a542-06b0c49a4cb7,10.0,High Producing Exotic Grassland,,��p��tiki District
7f507737-89c7-4428-9bd1-fb670c4a08bb,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
ec883a38-49f5-48f2-bf32-0571dff6b863,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4153214,10.0,High Producing Exotic Grassland,,��p��tiki District
582480b5-d2f1-40e6-91d3-dbdf7daba9b3,8.0,High Producing Exotic Grassland,,Whakatane District
4ccae7d8-2c01-40c8-b223-e0e12f09135d,8.0,High Producing Exotic Grassland,,Whakatane District
e04b01cd-408e-4609-a406-2ff9166c853b,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
ad3ef490-ea5f-4fac-a35b-2faf03d7d938,10.0,Herbaceous Freshwater Vegetation,Tauranga,Tauranga City
88f0047c-b53c-455d-a7aa-ca2ea7357f1a,10.0,Herbaceous Freshwater Vegetation,Tauranga,Tauranga City
8559d5f9-6939-47c5-8be5-93fe7dbe8c3d,10.0,Indigenous Forest,,Western Bay of Plenty District
570510b4-836d-42c3-bcf3-828b7867339c,10.0,High Producing Exotic Grassland,,��p��tiki District
456e7318-ad23-4ae9-a48d-4a6f3c2c3f0a,10.0,Built-up Area (settlement),Tauranga,Tauranga City
3d17b943-daba-49d3-9234-58be86630dd8,10.0,High Producing Exotic Grassland,,��p��tiki District
9a60ac22-2023-4085-aa94-21ab39b86720,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
e7663008-c8f5-403c-866c-639cff51b508,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
5078897b-0606-45ac-b603-0f79cb565b10,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
098e92aa-7828-4d74-ad0c-7965045d3ea6,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
c1fa7aeb-6302-4150-9168-edfe1ba2555d,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
53d6cd0d-1111-47b1-baaa-fbe815d8786d,8.0,High Producing Exotic Grassland,,Whakatane District
8b8a8951-55a5-416e-8be4-8343b4774f75,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
a9696f5d-befc-46b4-839c-620b5cdabb15,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
acb68000-6c29-4058-881b-f97f84ffa01c,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
c5ec6950-3127-4260-b0a8-0b1e0f764268,8.4,High Producing Exotic Grassland,,��p��tiki District
74bd9c2d-447d-42ac-af69-9d03142496aa,8.4,High Producing Exotic Grassland,,��p��tiki District
f4337b3f-369f-4642-a26c-b131a6eff79e,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
49270a8d-6b7a-4d3d-bfe4-a08dd0880eca,10.0,Built-up Area (settlement),Tauranga,Tauranga City
5e5ed2da-0136-45dd-a54b-e80f34f362b8,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
888d8b05-b593-4ead-abc2-b78ad401f2ac,8.4,Short-rotation Cropland,,��p��tiki District
4c38589e-3eb4-4686-bc9a-2842da5ba529,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
dfc77772-3b74-481a-9ec6-fcc7508d5ca9,8.4,High Producing Exotic Grassland,,Whakatane District
9cf7ffc6-4076-400b-89e0-1bb8ecbd6bf7,8.0,High Producing Exotic Grassland,,Whakatane District
ce0bd139-473f-4a62-9b63-a9f064cc312b,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
f46e2847-b772-4c71-9ac7-e234b8a904e8,9.6,Indigenous Forest,,Western Bay of Plenty District
55d2da84-c1d5-4ef0-865e-b7cc63055a16,10.0,Built-up Area (settlement),Tauranga,Tauranga City
7436dae3-9616-4b2c-8853-6cc5ef4818cd,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4d768cc8-c747-4043-8640-a84ecc35dc67,8.2,High Producing Exotic Grassland,,Whakatane District
55ff0e03-379c-49aa-848c-ad88f492eab4,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
b07e1880-24fd-4dea-a334-64ae3311255e,10.0,Built-up Area (settlement),Tauranga,Tauranga City
2d8dbe7f-20b1-4926-aa5d-f748f6fd495a,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
a62f86ca-5089-430d-8317-9e8b04e02568,10.0,Indigenous Forest,Tauranga,Western Bay of Plenty District
55731dc6-9cf0-4917-83a0-507a87841599,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
ae791c8b-3b26-4168-8b8a-430cb1586597,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
6a9706d5-6b1e-432a-bf2d-df1bf57bed6a,8.0,Indigenous Forest,,Whakatane District
6667c84e-af0e-4b89-a0f1-3b3a1f6c3443,8.4,High Producing Exotic Grassland,,��p��tiki District
e73ceadf-646f-4d8a-9732-2126c7008e00,8.4,High Producing Exotic Grassland,,��p��tiki District
ed5871a4-d67a-4fef-8d0a-27d846c743a3,8.0,Exotic Forest,,Whakatane District
4edaa78e-4a2b-4b5f-939c-c6a9f242b459,10.0,High Producing Exotic Grassland,,Whakatane District
694bc5de-dcf7-4349-b055-95636353e50b,8.4,High Producing Exotic Grassland,,Whakatane District
4586781,8.8,Built-up Area (settlement),,Western Bay of Plenty District
c362ea91-a7db-47fd-bace-ed51681900ef,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
f128e399-a981-4ac0-ad0a-d21e5fbbe7ee,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
b22eec55-58b1-4676-b571-10eac4f8eafb,8.0,High Producing Exotic Grassland,,Whakatane District
829245ed-dde0-4237-9edc-cfd2e4c22905,10.0,Built-up Area (settlement),Tauranga,Tauranga City
a6146895-fc89-431d-beea-a1449bea53cc,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
51cd1543-8c85-492c-88e3-4cc3bdb5c5d3,8.0,High Producing Exotic Grassland,,Whakatane District
fa2d8110-ad22-43ce-acfa-55c2daa4bab1,10.0,High Producing Exotic Grassland,,Tauranga City
bc81af27-a6fd-49e0-bfc0-9e3400b0cd66,10.0,High Producing Exotic Grassland,,��p��tiki District
367a62a3-e8e6-4a97-94e2-dfc02ece6fdf,10.0,Built-up Area (settlement),Tauranga,Tauranga City
5e1f4296-2449-4492-9ab5-49eaf8df8e2e,8.8,Broadleaved Indigenous Hardwoods,,Western Bay of Plenty District
e84f380b-a7ea-494a-b2d3-8b52e92102be,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
3059c713-4d69-4f99-bcc2-3705026217c6,10.0,High Producing Exotic Grassland,,��p��tiki District
f9ef4b2a-2b84-4e7b-a83a-22b0dbee7b97,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
5b021c90-e1b2-4e77-b26e-66c4bac139ec,8.4,High Producing Exotic Grassland,,��p��tiki District
64b3e9b2-83af-425d-bbb7-db052f748bb5,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
6761dae2-6f58-4ee8-bf26-9395b61fd5aa,8.0,High Producing Exotic Grassland,,Whakatane District
071eb218-8d4f-4786-a082-d609cb50cccc,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
c75b2537-f2f9-4203-b451-69d278b8dd59,8.0,High Producing Exotic Grassland,,Whakatane District
64192715-c992-42cd-b87e-78a28ffd45f9,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
